# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
6320 1.00579 -1.34939 0.682345
6330 0.974271 -1.33225 0.735697
6340 1.0154 -1.32291 0.803573
6350 1.01835 -1.3351 0.767611
6360 1.01002 -1.32169 0.800314
6370 1.01298 -1.33879 0.759804
6380 0.992248 -1.33561 0.765944
6390 0.987652 -1.3295 0.783225
6400 1.0043 -1.29919 0.884369
6410 0.999514 -1.33505 0.75105
6420 0.983241 -1.34862 0.70177
6430 0.995974 -1.32465 0.804568
6440 0.974016 -1.30561 0.867014
6450 0.988947 -1.33318 0.788311
6460 0.959709 -1.34786 0.743475
6470 1.00982 -1.35797 0.730242
6480 1.02891 -1.3492 0.760802
6490 0.969777 -1.33656 0.794426
6500 0.983182 -1.33696 0.783757
6510 0.993286 -1.34151 0.773529
6520 1.0169 -1.35572 0.746586
6530 0.979363 -1.31052 0.900656
6540 1.02801 -1.31455 0.889428
6550 1.06484 -1.32689 0.825901
6560 1.00409 -1.32371 0.798996
6570 0.997268 -1.33464 0.758539
6580 1.01579 -1.3321 0.778878
6590 1.00566 -1.31864 0.81207
6600 1.00088 -1.33436 0.745215
6610 1.02712 -1.34057 0.731844
6620 0.997466 -1.33069 0.769048
6630 1.03517 -1.30575 0.865396
6640 1.03581 -1.31889 0.818891
6650 1.03242 -1.29813 0.909272
6660 0.987736 -1.32634 0.800221
6670 0.978431 -1.32729 0.79274
6680 0.996404 -1.34399 0.722099
6690 0.979367 -1.31623 0.803547
6700 1.02135 -1.31057 0.853246
6710 1.03022 -1.32278 0.805499
6720 0.994051 -1.33936 0.719276
6730 1.01002 -1.33507 0.724875
6740 1.02301 -1.32493 0.75524
6750 1.03181 -1.30629 0.821247
6760 1.04097 -1.3125 0.789215
6770 0.992778 -1.32935 0.6916
6780 0.975604 -1.33478 0.672055
6790 0.956107 -1.31433 0.742479
6800 0.966355 -1.31664 0.75499
6810 0.98673 -1.31447 0.783414
6820 1.00005 -1.34022 0.733174
6830 0.966232 -1.31357 0.830478
6840 1.0028 -1.33842 0.756135
6850 0.999274 -1.33188 0.777726
6860 0.97587 -1.30191 0.869576
6870 0.997359 -1.33176 0.769915
6880 0.978841 -1.30106 0.851525
